Name;STATE;COUNTY;TRACT;GEOID
Forest Park (Sobelsohn Playground;36.0;81.0;77500.0;368177500.0
Forest Park (Tennis Courts -Forest Parkway);36.0;81.0;64101.0;368164101.0
Forest Park (The Overlook);36.0;81.0;61301.0;368161301.0
Forest Park (Victory Field);36.0;81.0;124700.0;3681124700.0
Forest Park (Visitor Center;36.0;81.0;64102.0;368164102.0
Fort Greene Park;36.0;47.0;25300.0;364725300.0
Fort Greene Playground;36.0;47.0;2901.0;36472901.0
Fort Independence Playground;36.0;5.0;40900.0;36540900.0
Fort Tryon Park (Anne Loftus Playground);36.0;61.0;29500.0;366129500.0
Fort Tryon Park (Café);36.0;61.0;28700.0;366128700.0
Fort Tryon Park (The Cloisters);36.0;61.0;28700.0;366128700.0
Fort Washington Park (Lily Brown Playground);36.0;61.0;24301.0;366124301.0
Fox Playground;36.0;47.0;67800.0;364767800.0
Francis Lewis Playground;36.0;81.0;97300.0;368197300.0
Frank D. O'Connor Playground;36.0;81.0;26700.0;368126700.0
Frank Golden Park;36.0;81.0;80302.0;368180302.0
Franz Sigel Park;36.0;5.0;6301.0;3656301.0
Frederick B. Judge Memorial Playground;36.0;81.0;17000.0;368117000.0
Frederick Douglass Playground;36.0;61.0;14300.0;366114300.0
Frederick E. Samuel Playground;36.0;61.0;21703.0;366121703.0
Frederick Johnson Park;36.0;61.0;23600.0;366123600.0
Fresh Meadows Playground (PS 173);36.0;81.0;122300.0;3681122300.0
Friends Field;36.0;47.0;44800.0;364744800.0
Fulton Park;36.0;47.0;29700.0;364729700.0
Galapo Playground;36.0;47.0;57600.0;364757600.0
Garibaldi Playground;36.0;47.0;27600.0;364727600.0
General Douglas MacArthur Park;36.0;61.0;8603.0;36618603.0
Glenwood Playground;36.0;47.0;95000.0;364795000.0
Gorman Playground;36.0;81.0;1200.0;36811200.0
Gouverneur Playground;36.0;5.0;14701.0;36514701.0
Gowanus Playground;36.0;47.0;7100.0;36477100.0
Grandview Playground;36.0;85.0;31901.0;368531901.0
Gravesend Park;36.0;47.0;47000.0;364747000.0
Greencroft Playground (PS 53);36.0;85.0;13203.0;368513203.0
Greene Playground;36.0;47.0;19700.0;364719700.0
Greenwood Playground;36.0;47.0;45000.0;364745000.0
Grove Hill Playground;36.0;5.0;6900.0;3656900.0
Grover Cleveland Park;36.0;81.0;59501.0;368159501.0
Gun Hill Playground;36.0;5.0;37200.0;36537200.0
Gunn Park (PS 18);36.0;81.0;47801.0;368147801.0
Haffen Park;36.0;5.0;35800.0;36535800.0
Haffen Park;36.0;5.0;35800.0;36535800.0
Haggerty Park;36.0;81.0;50000.0;368150000.0
Hallets Cove Playground;36.0;81.0;8700.0;36818700.0
Hamilton Fish Park (Recreation Center);36.0;61.0;3002.0;36613002.0
Hamilton-Metz Field;36.0;47.0;107800.0;3647107800.0
Hammel Playground;36.0;81.0;94203.0;368194203.0
Happy Warrior Playground;36.0;61.0;18500.0;366118500.0
Harold Schneiderman Playground (PS 232);36.0;81.0;6202.0;36816202.0
Harris Park;36.0;5.0;40900.0;36540900.0
Harry Maze Memorial Park;36.0;61.0;10601.0;366110601.0
Hart Playground;36.0;81.0;27900.0;368127900.0
Harvey Park;36.0;81.0;103300.0;3681103300.0
Hattie Carthan Playground;36.0;47.0;25700.0;364725700.0
Havemeyer Playground;36.0;5.0;7000.0;3657000.0
Heckscher Playground;36.0;47.0;44100.0;364744100.0
Henry Hudson Park;36.0;5.0;29301.0;36529301.0
Herbert Von King Park;36.0;47.0;26300.0;364726300.0
Herman Dolgon Playground;36.0;47.0;57000.0;364757000.0
Hermon MacNeil Park;36.0;81.0;92500.0;368192500.0
High Rock Park;36.0;85.0;27900.0;368527900.0
High Rock Park (Education Building);36.0;85.0;27900.0;368527900.0
High Rock Park (McArthur Park);36.0;85.0;27900.0;368527900.0
High Rock Park (Visitor Center);36.0;85.0;27900.0;368527900.0
Highbridge Park (Quisqueya Playground);36.0;61.0;26100.0;366126100.0
Highbridge Park (Recreation Center);36.0;61.0;28700.0;366128700.0
Highbridge Park (Wallenberg Playground);36.0;61.0;27700.0;366127700.0
Highbridge Park-Wallenberg Playground;36.0;61.0;27700.0;366127700.0
Highland Park;36.0;47.0;114202.0;3647114202.0
Hoffman Park;36.0;81.0;47500.0;368147500.0
Holcombe Rucker;36.0;61.0;23600.0;366123600.0
Hollis Playground (JHS 192);36.0;81.0;51000.0;368151000.0
Holy Cow Playground (PS 179);36.0;81.0;140902.0;3681140902.0
Hoover Playground;36.0;81.0;22001.0;368122001.0
Horace Harding Playground (PS 206);36.0;81.0;69500.0;368169500.0
Horseshoe Playground;36.0;5.0;12901.0;36512901.0
Howard Bennett Playground;36.0;61.0;14300.0;366114300.0
Hunts Point Playground;36.0;5.0;11701.0;36511701.0
Inwood Hill Park (Nature Center);36.0;61.0;29700.0;366129700.0
Inwood Hill Park (Payson Playground);36.0;61.0;29700.0;366129700.0
Inwood Hill Park (Tennis Courts);36.0;61.0;30300.0;366130300.0
J. Hood Wright Park;36.0;61.0;25100.0;366125100.0
J.J. Byrne Memorial Park;36.0;47.0;8200.0;36478200.0
Jackie Robinson Park;36.0;47.0;37900.0;364737900.0
Jackie Robinson Park;36.0;61.0;23100.0;366123100.0
Jackie Robinson Park (Playground One Fifty Two CLII);36.0;61.0;23501.0;366123501.0
Jackie Robinson Park (Recreation Center);36.0;61.0;23501.0;366123501.0
Jackie Robinson Playground;36.0;47.0;32500.0;364732500.0
Jacob Schiff Playground (PS 192);36.0;61.0;22301.0;366122301.0
James J. Walker Park (Carmine Recreation Center);36.0;61.0;6900.0;36616900.0
Jesse Owens Playground;36.0;47.0;28900.0;364728900.0
John Golden Park;36.0;81.0;115100.0;3681115100.0
John J. Carty Park;36.0;47.0;16200.0;364716200.0
John Jay Park & Pool;36.0;61.0;14200.0;366114200.0
John Paul Jones Park;36.0;47.0;16200.0;364716200.0
Joline Pool Playground (Modular Equipment);36.0;85.0;24401.0;368524401.0
Joline Pool Playground (Modular Equipment);36.0;85.0;24401.0;368524401.0
Joseph Austin Playground;36.0;81.0;45200.0;368145200.0
Joseph F. Mafera Park;36.0;81.0;58100.0;368158100.0
Julio Carballo Field;36.0;5.0;9800.0;3659800.0
Juniper Valley Park (North Playground Tennis);36.0;81.0;67100.0;368167100.0
K.L. Williams Playground (Tennis);36.0;81.0;44400.0;368144400.0
Kaiser Park;36.0;47.0;34800.0;364734800.0
Katzman Playground;36.0;81.0;71100.0;368171100.0
Kennedy King Playground;36.0;47.0;88200.0;364788200.0
Kennedy Playground;36.0;81.0;109700.0;3681109700.0
Kissena Corridor East (Underhill Playground);36.0;81.0;141700.0;3681141700.0
Kissena Park;36.0;81.0;40302.0;368140302.0
Kissena Park (Tennis Courts);36.0;81.0;119900.0;3681119900.0
La Guardia Playground West;36.0;47.0;51900.0;364751900.0
Lawerence Virgilio Playground;36.0;81.0;25100.0;368125100.0
Leif Ericson Park & Square;39.0;35.0;106200.0;3935106200.0
Levy Playground;36.0;85.0;20702.0;368520702.0
Liberty Pool;36.0;81.0;44000.0;368144000.0
Lincoln Terrace Park;36.0;47.0;35702.0;364735702.0
Lincoln Terrace Park (Arthur S. Somers Playground);36.0;47.0;34901.0;364734901.0
Linden Park;36.0;47.0;113200.0;3647113200.0
Linden Park;36.0;81.0;40501.0;368140501.0
Lindower Park;36.0;47.0;69800.0;364769800.0
Little Flower Playground;36.0;61.0;600.0;3661600.0
London Planetree Playground;36.0;81.0;3400.0;36813400.0
Loreto Park Playground;36.0;5.0;25400.0;36525400.0
Loring Field;36.0;81.0;84602.0;368184602.0
Lost Battalion Hall;36.0;81.0;60300.0;368160300.0
Lou Lodati Playground;36.0;81.0;18102.0;368118102.0
Louis Armstrong Playground (PS 143);36.0;81.0;27900.0;368127900.0
Louis Pasteur Park;36.0;81.0;150701.0;3681150701.0
Lozada Playground;36.0;5.0;2300.0;3652300.0
Luna Park Playground;36.0;47.0;35200.0;364735200.0
Lyons Pool;36.0;85.0;2100.0;36852100.0
Macombs Dam Park;36.0;5.0;14100.0;36514100.0
Magenta Playground;36.0;5.0;37400.0;36537400.0
Mahoney Playground;36.0;85.0;700.0;3685700.0
Mapes Pool;36.0;5.0;37100.0;36537100.0
Maple Playground;36.0;81.0;85300.0;368185300.0
Marble Hill Playground;36.0;5.0;28900.0;36528900.0
Marconi Park;36.0;81.0;25401.0;368125401.0
Marc's & Jason's Playground;36.0;47.0;32900.0;364732900.0
Marcus Garvey Park (Pelham Fritz Recreation Center);36.0;61.0;19800.0;366119800.0
Marcus Garvey Park (Pool);36.0;61.0;19600.0;366119600.0
Maria Hernandez Park;36.0;47.0;42900.0;364742900.0
Marie Curie Park (JHS 158);36.0;81.0;145101.0;3681145101.0
Marine Park;36.0;47.0;38800.0;364738800.0
Marine Park Nature Center;36.0;47.0;66600.0;364766600.0
Marion-Hopkinson Playground;36.0;47.0;37100.0;364737100.0
Markham Playground;36.0;85.0;13800.0;368513800.0
Martin Luther King Houses;36.0;61.0;18600.0;366118600.0
Martinez Playground;36.0;47.0;50500.0;364750500.0
Mathew Muliner Playground;36.0;5.0;23200.0;36523200.0
Maurice A. Fitzgerald Playground;36.0;81.0;11600.0;368111600.0
Maurice Park;36.0;81.0;51100.0;368151100.0
May Matthews Playground;36.0;61.0;12101.0;366112101.0
Mazzei Playground;36.0;5.0;32600.0;36532600.0
McCaffrey Playground;36.0;61.0;14500.0;366114500.0
McCarren Park;36.0;47.0;51700.0;364751700.0
McDonald Playground;36.0;47.0;45000.0;364745000.0
McDonald Playground;36.0;61.0;12500.0;366112500.0
McKinley Park;36.0;47.0;13600.0;364713600.0
McKinley Playground;36.0;61.0;3200.0;36613200.0
McLaughlin Park;36.0;47.0;1300.0;36471300.0
Mellett Playground;36.0;61.0;5200.0;36615200.0
Metropolitan Pool;36.0;47.0;55300.0;364755300.0
Michaelis-Bayswater Park;36.0;81.0;99200.0;368199200.0
Midland Beach & Boardwalk;36.0;85.0;7002.0;36857002.0
Midland Field;36.0;85.0;11203.0;368511203.0
Midland Playground;36.0;85.0;11203.0;368511203.0
Millbrook Playground;36.0;5.0;2701.0;3652701.0
Monsignor Mcgolrick Park;36.0;47.0;58901.0;364758901.0
Montbellier Park;36.0;81.0;32800.0;368132800.0
Morningside Park;36.0;61.0;20901.0;366120901.0
Morningside Park;36.0;61.0;19701.0;366119701.0
Morningside Playground;36.0;61.0;19701.0;366119701.0
Mosholu Playground (PS 8);36.0;5.0;42500.0;36542500.0
Mott Playground;36.0;5.0;19700.0;36519700.0
Msgnr. Kett;36.0;61.0;29100.0;366129100.0
Mt. Prospect Park;36.0;47.0;20700.0;364720700.0
Mullaly Park (Skate Building);36.0;5.0;6301.0;3656301.0
Murray Playground;36.0;81.0;103.0;3681103.0
Nautilus Playground;36.0;81.0;33401.0;368133401.0
Nelson Playground;36.0;5.0;19900.0;36519900.0
Newport Playground;36.0;47.0;91800.0;364791800.0
Noble Playground;36.0;5.0;6000.0;3656000.0
Noonan Playground;36.0;81.0;18502.0;368118502.0
North Rochdale Playground (PS 30);36.0;81.0;28400.0;368128400.0
Nostrand Playground;36.0;47.0;82800.0;364782800.0
Ocean Hill Playground;36.0;47.0;36501.0;364736501.0
Old Town Playground;36.0;85.0;6400.0;36856400.0
Oracle Playground;36.0;47.0;18501.0;364718501.0
Orchard Beach Pavilion;36.0;5.0;5001.0;3655001.0
Orchard Beach Pavilion;36.0;5.0;5001.0;3655001.0
Orville & Wilbur Playground;36.0;61.0;23501.0;366123501.0
Osborn Playground;36.0;47.0;92200.0;364792200.0
Owen Dolen Recreation Center;36.0;5.0;21601.0;36521601.0
P.O. Nicholas Demutis Playground;36.0;81.0;9400.0;36819400.0
P.O. Serrano Playground;36.0;5.0;9800.0;3659800.0
