GEOIDCORRECT;NAME_x;variable;estimate;Name;Location;Open Year-Round;Handicap Accessible;Borough;Comments;Latitude;Longitude;SUFFIX;POP100;GEOID;CENTLAT;BLOCK;AREAWATER;STATE;BASENAME;OID;LSADC;INTPTLAT;FUNCSTAT;NAME_y;OBJECTID;TRACT;CENTLON;BLKGRP;AREALAND;HU100;INTPTLON;MTFCC;LWBLKTYP;UR;COUNTY;SUFFIX.1;POP100.1;GEOID.1;CENTLAT.1;BLOCK.1;AREAWATER.1;STATE.1;BASENAME.1;OID.1;LSADC.1;INTPTLAT.1;FUNCSTAT.1;NAME.1;OBJECTID.1;TRACT.1;CENTLON.1;BLKGRP.1;AREALAND.1;HU100.1;INTPTLON.1;MTFCC.1;LWBLKTYP.1;UR.1;COUNTY.1;GEOID.2;STATE.2;COUNTY.2;TRACT.2;BLOCK.2
36081005300;Census Tract 53, Queens County, New York;poverty;5590;Dutch Kills Playground (PS 112);Crescent-28 streets, 36 Avenue, 37 Avenue;Yes;;Queens;;407.566.048;-7.392.966.849.999.990;;294;3,6081E+14;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;;294;3,6081E+14;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;3,6081E+14;36;81;5300;4003
36081005300;Census Tract 53, Queens County, New York;med_inc;96690;Dutch Kills Playground (PS 112);Crescent-28 streets, 36 Avenue, 37 Avenue;Yes;;Queens;;407.566.048;-7.392.966.849.999.990;;294;3,6081E+14;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;;294;3,6081E+14;407.571.702;4003;0;36;4003;2,10701E+14;BK;407.571.702;S;Block 4003;3502944;5300;-739.287.271;4;15898;148;-739.287.271;G5040;L;U;81;3,6081E+14;36;81;5300;4003
36047027600;Census Tract 276, Kings County, New York;population;3996;Garibaldi Playground;82 to 83 Street at 18 Avenue;Yes;;Brooklyn;;406.088.642;-7.400.065.920.000.000;;149;3,6047E+14;406.097.878;3002;0;36;3002;2,10701E+14;BK;406.097.878;S;Block 3002;6661014;27600;-740.008.215;3;29308;50;-740.008.215;G5040;L;U;47;;149;3,6047E+14;406.097.878;3002;0;36;3002;2,10701E+14;BK;406.097.878;S;Block 3002;6661014;27600;-740.008.215;3;29308;50;-740.008.215;G5040;L;U;47;3,6047E+14;36;47;27600;3002
36047027600;Census Tract 276, Kings County, New York;poverty;3938;Garibaldi Playground;82 to 83 Street at 18 Avenue;Yes;;Brooklyn;;406.088.642;-7.400.065.920.000.000;;149;3,6047E+14;406.097.878;3002;0;36;3002;2,10701E+14;BK;406.097.878;S;Block 3002;6661014;27600;-740.008.215;3;29308;50;-740.008.215;G5040;L;U;47;;149;3,6047E+14;406.097.878;3002;0;36;3002;2,10701E+14;BK;406.097.878;S;Block 3002;6661014;27600;-740.008.215;3;29308;50;-740.008.215;G5040;L;U;47;3,6047E+14;36;47;27600;3002
36047027600;Census Tract 276, Kings County, New York;med_inc;56652;Garibaldi Playground;82 to 83 Street at 18 Avenue;Yes;;Brooklyn;;406.088.642;-7.400.065.920.000.000;;149;3,6047E+14;406.097.878;3002;0;36;3002;2,10701E+14;BK;406.097.878;S;Block 3002;6661014;27600;-740.008.215;3;29308;50;-740.008.215;G5040;L;U;47;;149;3,6047E+14;406.097.878;3002;0;36;3002;2,10701E+14;BK;406.097.878;S;Block 3002;6661014;27600;-740.008.215;3;29308;50;-740.008.215;G5040;L;U;47;3,6047E+14;36;47;27600;3002
36081094201;Census Tract 942.01, Queens County, New York;population;3343;Rockaway Beach 97 Comfort Station;Beach 97 Street;;Yes;Queens;;40.584.947;-738.188.057;;135;3,60811E+14;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;;135;3,60811E+14;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;3,60811E+14;36;81;94201;1009
36081094201;Census Tract 942.01, Queens County, New York;poverty;3229;Rockaway Beach 97 Comfort Station;Beach 97 Street;;Yes;Queens;;40.584.947;-738.188.057;;135;3,60811E+14;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;;135;3,60811E+14;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;3,60811E+14;36;81;94201;1009
36081094201;Census Tract 942.01, Queens County, New York;med_inc;70236;Rockaway Beach 97 Comfort Station;Beach 97 Street;;Yes;Queens;;40.584.947;-738.188.057;;135;3,60811E+14;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;;135;3,60811E+14;405.839.886;1009;0;36;1009;2,10701E+14;BK;405.839.886;S;Block 1009;3498561;94201;-738.184.698;1;8839;44;-738.184.698;G5040;L;U;81;3,60811E+14;36;81;94201;1009
36061027700;Census Tract 277, New York County, New York;population;6603;Highbridge Park (Wallenberg Playground);West 188 Street & Amsterdam Avenue;Yes;Yes;Manhattan;;408.524.934;-739.277.036;;233;3,6061E+14;408.531.067;1003;0;36;1003;2,10701E+14;BK;408.531.067;S;Block 1003;3710181;27700;-739.281.926;1;11116;95;-739.281.926;G5040;L;U;61;;233;3,6061E+14;408.531.067;1003;0;36;1003;2,10701E+14;BK;408.531.067;S;Block 1003;3710181;27700;-739.281.926;1;11116;95;-739.281.926;G5040;L;U;61;3,6061E+14;36;61;27700;1003
36061027700;Census Tract 277, New York County, New York;population;6603;Highbridge Park-Wallenberg Playground;W 189 St & Amsterdam Ave;;Yes;Manhattan;;40.853.124;-739.272.569;;780;3,6061E+14;408.537.193;1002;0;36;1002;2,10701E+14;BK;408.537.193;S;Block 1002;2886338;27700;-739.277.455;1;10646;304;-739.277.455;G5040;L;U;61;;780;3,6061E+14;408.537.193;1002;0;36;1002;2,10701E+14;BK;408.537.193;S;Block 1002;2886338;27700;-739.277.455;1;10646;304;-739.277.455;G5040;L;U;61;3,6061E+14;36;61;27700;1002
