Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,SUFFIX,POP100,GEOID,CENTLAT,BLOCK,AREAWATER,STATE,BASENAME,OID,LSADC,INTPTLAT,FUNCSTAT,NAME,OBJECTID,TRACT,CENTLON,BLKGRP,AREALAND,HU100,INTPTLON,MTFCC,LWBLKTYP,UR,COUNTY,GEOID,STATE,COUNTY,TRACT,BLOCK
Athens Sq (PS 17),"29 Street, 30 Street, 30 Avenue, Newtown Avenue",Yes,Yes,Queens,,40.7672696,-73.9221848,,90,360810071004004,+40.7675708,4004,0,36,4004,210701006109181,BK,+40.7675708,S,Block 4004,3504087,007100,-073.9214604,4,10453,38,-073.9214604,G5040,L,U,081,,90,360810071004004,+40.7675708,4004,0,36,4004,210701006109181,BK,+40.7675708,S,Block 4004,3504087,007100,-073.9214604,4,10453,38,-073.9214604,G5040,L,U,081,360810071004004,36,081,007100,4004
Aubondale Playground,"170-171 streets, 33-35 avenues",Yes,,Queens,,40.7481685,-73.7968507,,94,360811207012011,+40.7483531,2011,0,36,2011,210701006110292,BK,+40.7483531,S,Block 2011,2637728,120701,-073.7966659,2,8818,24,-073.7966659,G5040,L,U,081,,94,360811207012011,+40.7483531,2011,0,36,2011,210701006110292,BK,+40.7483531,S,Block 2011,2637728,120701,-073.7966659,2,8818,24,-073.7966659,G5040,L,U,081,360811207012011,36,081,120701,2011
Audubon Playground,West 170 Street & Audubon Avenue,Yes,,Manhattan,,40.8416671,-73.93750949999999,,189,360610253004004,+40.8416773,4004,0,36,4004,210701008620089,BK,+40.8416773,S,Block 4004,3657896,025300,-073.9384104,4,10141,120,-073.9384104,G5040,L,U,061,,189,360610253004004,+40.8416773,4004,0,36,4004,210701008620089,BK,+40.8416773,S,Block 4004,3657896,025300,-073.9384104,4,10141,120,-073.9384104,G5040,L,U,061,360610253004004,36,061,025300,4004
Augustus St. Gaudens,"East 19 to East 20 streets, 2 Avenue",Yes,,Manhattan,,40.7360228,-73.9822738,,897,360610064003000,+40.7361967,3000,0,36,3000,210701008619037,BK,+40.7361967,S,Block 3000,3353862,006400,-073.9836003,3,16129,667,-073.9836003,G5040,L,U,061,,897,360610064003000,+40.7361967,3000,0,36,3000,210701008619037,BK,+40.7361967,S,Block 3000,3353862,006400,-073.9836003,3,16129,667,-073.9836003,G5040,L,U,061,360610064003000,36,061,006400,3000
Bailey Playground,"Bailey Avenue, Weast 233-West 238 streets",Yes,,Bronx,,40.8850328,-73.899998,,98,360050283002004,+40.8853496,2004,0,36,2004,210701006030269,BK,+40.8853496,S,Block 2004,1766920,028300,-073.8999720,2,7975,33,-073.8999720,G5040,L,U,005,,98,360050283002004,+40.8853496,2004,0,36,2004,210701006030269,BK,+40.8853496,S,Block 2004,1766920,028300,-073.8999720,2,7975,33,-073.8999720,G5040,L,U,005,360050283002004,36,005,028300,2004
Baisley Pond Park,"Rockaway Boulevard, 125th Avenue, & Baisley Boulevard South",Yes,,Queens,,40.6758621,-73.7830468,,8,360810288031001,+40.6776586,1001,106288,36,1001,210701006106478,BK,+40.6738111,S,Block 1001,2551593,028803,-073.7856771,1,245260,1,-073.7867709,G5040,B,U,081,,8,360810288031001,+40.6776586,1001,106288,36,1001,210701006106478,BK,+40.6738111,S,Block 1001,2551593,028803,-073.7856771,1,245260,1,-073.7867709,G5040,B,U,081,360810288031001,36,081,028803,1001
Baisley Pond Park,"150th Street, Rockaway Boulevard, Baisley Boulevard South, & North Conduit Avenue",Yes,,Queens,,40.6670627,-73.78701459999999,,0,360810306001000,+40.6669881,1000,0,36,1000,210701006106318,BK,+40.6669881,S,Block 1000,1844717,030600,-073.7854289,1,30435,0,-073.7854289,G5040,L,U,081,,0,360810306001000,+40.6669881,1000,0,36,1000,210701006106318,BK,+40.6669881,S,Block 1000,1844717,030600,-073.7854289,1,30435,0,-073.7854289,G5040,L,U,081,360810306001000,36,081,030600,1000
Baisley Pond Park (157th Street Playground),157 Street & 116 Avenue,Yes,,Queens,,40.6851275,-73.78653779999999,,180,360810276001008,+40.6858756,1008,0,36,1008,210701006115792,BK,+40.6858756,S,Block 1008,1389273,027600,-073.7870430,1,14903,63,-073.7870430,G5040,L,U,081,,180,360810276001008,+40.6858756,1008,0,36,1008,210701006115792,BK,+40.6858756,S,Block 1008,1389273,027600,-073.7870430,1,14903,63,-073.7870430,G5040,L,U,081,360810276001008,36,081,027600,1008
Bartlett Playground,Bartlett Street & Throop Avenue,Yes,,Brooklyn,,40.7016615,-73.94565469999999,,43,360470507001008,+40.7013421,1008,0,36,1008,210701004653194,BK,+40.7013421,S,Block 1008,4147321,050700,-073.9468806,1,16807,16,-073.9468806,G5040,L,U,047,,43,360470507001008,+40.7013421,1008,0,36,1008,210701004653194,BK,+40.7013421,S,Block 1008,4147321,050700,-073.9468806,1,16807,16,-073.9468806,G5040,L,U,047,360470507001008,36,047,050700,1008
Battery Park (Battery Gardens),"Battery Place, State & Whitehall streets",Yes,,Manhattan,,40.7052168,-74.01393399999999,,0,360610013002008,+40.7054195,2008,0,36,2008,210701008620804,BK,+40.7054195,S,Block 2008,2840599,001300,-074.0141862,2,13328,0,-074.0141862,G5040,L,U,061,,0,360610013002008,+40.7054195,2008,0,36,2008,210701008620804,BK,+40.7054195,S,Block 2008,2840599,001300,-074.0141862,2,13328,0,-074.0141862,G5040,L,U,061,360610013002008,36,061,001300,2008
