Name,Location,Open Year-Round,Handicap Accessible,Borough,Comments,Latitude,Longitude
Central Park (Ancient Playground),85 ST & 5TH AVE,,Yes,Manhattan,,40.7808552,-73.9609158
Central Park (Arsenal),5th Avenue from 60th Street to 65th Street,Yes,,Manhattan,,40.7668879,-73.9675776
Central Park (Bethesda Terrace),,,,Manhattan,,40.8205423,-73.93694119999999
Central Park (Conservatory Garden),"5th Avenue, 103rd Street to 106th Street",Yes,,Manhattan,,40.7915312,-73.9447036
Central Park (Dana Discovery Center),110th Street between Fifth Avenue and Malcolm X Boulevard,Yes,Yes,Manhattan,,40.8096347,-73.9442166
Central Park (Heckscher Playground),"62 ST, BET WEST & CENTER DRS",,,Manhattan,,40.7630715,-73.9643414
Central Park (Kerbs Boathouse),74th Street near Fifth Avenue,Yes,,Manhattan,,40.7744146,-73.9656177
Central Park (Lasker),Central Park at 107th Street,Yes,Yes,Manhattan,,40.79873329999999,-73.95955459999999
Central Park (Loeb Boathouse),East Side between 74th and 75th streets,Yes,,Manhattan,,40.7710852,-73.9577386
Central Park (North Meadow Recreation Center),Mid-park at 97th Street,Yes,Yes,Manhattan,,40.7872899,-73.9521907
Central Park (Ramble),Central Park,,,Manhattan,,40.798713,-73.9535691
"Central Park (Sheep Meadow, Mineral Springs)",Mid-park at 69th Street,No,Yes,Manhattan,,40.7692136,-73.96534989999999
Central Park (Tavern on The Green),Central Park,,,Manhattan,,40.798713,-73.9535691
Central Park (Tennis Courts),93d Street near the West Drive,Yes,,Manhattan,,40.7832685,-73.9507498
Central Park (The Great Hill),West Side from 103rd to 107th streets,No,,Manhattan,,40.8008544,-73.964631
Central Park (The Metropolitan Museum of Art),Fifth Avenue at 82nd Street,Yes,,Manhattan,,40.7789593,-73.9623038
Central Park (West 61st),"West Drive, Central Park West, & 65th Street Transverse",No,,Manhattan,,40.7825547,-73.9655834
Central Park (Wollman Rink),Center Drive to East Drive (including Gapstow Bridge),Yes,Yes,Manhattan,,40.7232305,-73.9765362
Central Park Delacorte Comfort Station,Mid-Park at 80th Street,Yes,Yes,Manhattan,,40.7762914,-73.9599288
Century Playground,Brighton Beach Avenue & West 2 Street,Yes,,Brooklyn,,40.577555,-73.9614289
Challenge Playground (PS 187) 251 Street Playground,251 Street & 63 Avenue,No,,Queens,,40.7559921,-73.72722399999999
Chelsea Park,West 27 Street & 9 Avenue,Yes,,Manhattan,,40.74439659999999,-73.98807479999999
