Name;STATE;COUNTY;TRACT;GEOID;;;
Gun Hill Playground;36;5;37200;36537200;;;
Gunn Park (PS 18);36;81;47801;368147801;;;
Haffen Park;36;5;35800;36535800;;;
Haffen Park;36;5;35800;36535800;;;
Haggerty Park;36;81;50000;368150000;;;
Hallets Cove Playground;36;81;8700;36818700;;;
Hamilton Fish Park (Recreation Center);36;61;3002;36613002;;;
Hamilton-Metz Field;36;47;107800;3647107800;;;
Hammel Playground;36;81;94203;368194203;;;
Happy Warrior Playground;36;61;18500;366118500;;;
Harold Schneiderman Playground (PS 232);36;81;6202;36816202;;;
Harris Park;36;5;40900;36540900;;;
Harry Maze Memorial Park;36;61;10601;366110601;;;
Hart Playground;36;81;27900;368127900;;;
Harvey Park;36;81;103300;3681103300;;;
Hattie Carthan Playground;36;47;25700;364725700;;;
Havemeyer Playground;36;5;7000;3657000;;;
Heckscher Playground;36;47;44100;364744100;;;
Henry Hudson Park;36;5;29301;36529301;;;
Herbert Von King Park;36;47;26300;364726300;;;
Herman Dolgon Playground;36;47;57000;364757000;;;
Hermon MacNeil Park;36;81;92500;368192500;;;
High Rock Park;36;85;27900;368527900;;;
High Rock Park (Education Building);36;85;27900;368527900;;;
High Rock Park (McArthur Park);36;85;27900;368527900;;;
High Rock Park (Visitor Center);36;85;27900;368527900;;;
Highbridge Park (Quisqueya Playground);36;61;26100;366126100;;;
Highbridge Park (Recreation Center);36;61;28700;366128700;;;
Highbridge Park (Wallenberg Playground);36;61;27700;366127700;;;
Highbridge Park-Wallenberg Playground;36;61;27700;366127700;;;
Highland Park;36;47;114202;3647114202;;;
Hoffman Park;36;81;47500;368147500;;;
Holcombe Rucker;36;61;23600;366123600;;;
Hollis Playground (JHS 192);36;81;51000;368151000;;;
Holy Cow Playground (PS 179);36;81;140902;3681140902;;;
Hoover Playground;36;81;22001;368122001;;;
Horace Harding Playground (PS 206);36;81;69500;368169500;;;
Horseshoe Playground;36;5;12901;36512901;;;
Howard Bennett Playground;36;61;14300;366114300;;;
Hunts Point Playground;36;5;11701;36511701;;;
Inwood Hill Park (Nature Center);36;61;29700;366129700;;;
Inwood Hill Park (Payson Playground);36;61;29700;366129700;;;
Inwood Hill Park (Tennis Courts);36;61;30300;366130300;;;
J. Hood Wright Park;36;61;25100;366125100;;;
J.J. Byrne Memorial Park;36;47;8200;36478200;;;
Jackie Robinson Park;36;47;37900;364737900;;;
Jackie Robinson Park;36;61;23100;366123100;;;
Jackie Robinson Park (Playground One Fifty Two CLII);36;61;23501;366123501;;;
Jackie Robinson Park (Recreation Center);36;61;23501;366123501;;;
Jackie Robinson Playground;36;47;32500;364732500;;;
Jacob Schiff Playground (PS 192);36;61;22301;366122301;;;
James J. Walker Park (Carmine Recreation Center);36;61;6900;36616900;;;
Jesse Owens Playground;36;47;28900;364728900;;;
John Golden Park;36;81;115100;3681115100;;;
John J. Carty Park;36;47;16200;364716200;;;
John Jay Park & Pool;36;61;14200;366114200;;;
John Paul Jones Park;36;47;16200;364716200;;;
Joline Pool Playground (Modular Equipment);36;85;24401;368524401;;;
Joline Pool Playground (Modular Equipment);36;85;24401;368524401;;;
Joseph Austin Playground;36;81;45200;368145200;;;
Joseph F. Mafera Park;36;81;58100;368158100;;;
Julio Carballo Field;36;5;9800;3659800;;;
Juniper Valley Park (North Playground Tennis);36;81;67100;368167100;;;
K.L. Williams Playground (Tennis);36;81;44400;368144400;;;
Kaiser Park;36;47;34800;364734800;;;
Katzman Playground;36;81;71100;368171100;;;
Kennedy King Playground;36;47;88200;364788200;;;
Kennedy Playground;36;81;109700;3681109700;;;
Kissena Corridor East (Underhill Playground);36;81;141700;3681141700;;;
Kissena Park;36;81;40302;368140302;;;
Kissena Park (Tennis Courts);36;81;119900;3681119900;;;
La Guardia Playground West;36;47;51900;364751900;;;
Lawerence Virgilio Playground;36;81;25100;368125100;;;
Leif Ericson Park & Square;39;35;106200;3935106200;;;
Levy Playground;36;85;20702;368520702;;;
